,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,5437.5,2.175,1.7457164763013444,-3.2625,1.1125,108750.0,43.5
09:00:00,1488.095238095238,0.5952380952380952,1.9548396776487038,-3.357142857142857,1.1071428571428572,31250.0,12.5
09:30:00,3303.5714285714284,1.3214285714285714,1.8094250370758589,-3.2857142857142856,1.0238095238095237,69375.0,27.75
10:00:00,1375.0,0.55,1.9135352231727694,-3.575,1.0625,27500.0,11.0
10:30:00,1781.25,0.7125,1.7354565857235815,-3.075,1.0,35625.0,14.25
11:00:00,4136.9047619047615,1.6547619047619047,1.5442293210121327,-2.25,1.0,86875.0,34.75
11:30:00,4093.75,1.6375,1.4611101901560608,-2.35,1.0,81875.0,32.75
12:00:00,1937.5,0.775,1.7582067189123933,-2.95,1.0,38750.0,15.5
12:30:00,2250.0,0.9,1.6466305706768298,-2.85,1.0,45000.0,18.0
13:00:00,6968.75,2.7875,1.42623461045927,-2.225,1.0,139375.0,55.75
13:30:00,5343.75,2.1375,1.410234949952493,-2.25,1.0125,106875.0,42.75
14:00:00,-2593.75,-1.0375,2.0027663471781834,-3.5125,1.0,-51875.0,-20.75
14:30:00,4605.263157894737,1.8421052631578947,1.5353700543440942,-2.6842105263157894,1.0,87500.0,35.0
15:00:00,4125.0,1.65,1.0183093390006208,-0.85,0.8125,82500.0,33.0
